Country,Population,Region,iso_code
Algeria,43012658,Northern Africa,DZA
Angola,29240847,Southern Africa,AGO
Benin,12488112,Western Africa,BEN
Botswana,2449622,Southern Africa,BWA
Burkina Faso,20653498,Western Africa,BFA
Burundi,13179830,Central Africa,BDI
Cameroon,27884774,Central Africa,CMR
Cabo Verde,552351,Western Africa,CPV
CAF,20735261,Central Africa,CAF
Chad,22545704,Central Africa,TCD
Comoros,883162,Easterb Africa,COM
Congo (Rep),5950251,Central Africa,COG
Cote d'Ivoire,25599373,Western Africa,CIV
DRC,94058574,Central Africa,COD
Eq. Guinea,967760,Central Africa,GNQ
Eritrea,5930313,Eastern Africa,ERI
Eswatini,1359068,Southern Africa,SWZ
Ethiopia,112833693,Eastern Africa,ETH
Gabon,1915836,Central Africa,GAB
Gambia,2335718,Western Africa,GMB
Ghana,30536428,Western Africa,GHA
Guinea,14352102,Western Africa,GIN
Guinea-Bissau,2118558,Western Africa,GNB
Kenya,52314849,Eastern Africa,KEN
Lesotho,2251094,Southern Africa,LSO
Liberia,5095339,Western Africa,LBR
Madagascar,27797000,Eastern Africa,MDG
Malawi,19998214,Southern Africa,MWI
Mali,20525117,Western Africa,MLI
Mauritania,4546376,Western Africa,MRT
Mauritius,1291483,Eastern Africa,MUS
Mozambique,31995850,Southern Africa,MOZ
Namibia,2743745,Southern Africa,NAM
Niger,36399415,Western Africa,NER
Nigeria,207185471,Western Africa,NGA
Rwanda,13117385,Eastern Africa,RWA
Sao Tome e P,210613,Central Africa,STP
Senegal,17452400,Western Africa,SEN
Seychelles,98885,Eastern Africa,SYC
Sierra Leone,7119979,Western Africa,SLE
South Africa,56697608,Southern Africa,ZAF
South Sudan,14839454,Eastern Africa,SSD
Tanzania,64577992,Eastern Africa,TZA
Togo,8262867,Western Africa,TGO
Uganda,49051105,Eastern Africa,UGA
Zambia,18918307,Southern Africa,ZMB
Zimbabwe,17449538,Southern Africa,ZWE